Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,LC_01_H2O,LC_02_H2O,Bog_01_H2O,Bog_02_H2O,Bog_03_H2O,Bog_04_H2O,Bog_05_H2O,Bog_06_H2O,Bog_07_H2O,Bog_08_H2O,Bog_09_H2O,Bog_10_H2O,Bog_11_H2O,Bog_12_H2O,Bog_13_H2O,Bog_14_H2O,Bog_15_H2O,Bog_16_H2O,Bog_18_H2O,Bog_19_H2O,Bog_21_H2O,FB_01_H2O,FB_02_H2O,FB_03_H2O,FB_04_H2O
102.799342,0,0,0,0,0,0,0,0,,None,103.80661846688,0,0,0,1058628.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.873418,0,0,0,0,0,0,0,0,,None,103.88069446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050316.1,0,0,0,0
103.886546,0,0,0,0,0,0,0,0,,None,104.89382246688,0,0,0,0,0,0,0,0,1035042.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.137587125,0,0,0,0,0,0,0,0,,None,105.14486359188,0,0,0,0,1243028.6,0,1082587.1,0,1181722,0,0,0,0,1888806.4,0,0,0,1391469,0,1663143.8,1416613,1448298,0,0,0,0,0
104.186499,0,0,0,0,0,0,0,0,,None,105.19377546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126722.6,0,0,0
104.269256,0,0,0,0,0,0,0,0,,None,105.27653246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059666.1,0,0,0,0,0
104.275823,0,0,0,0,0,0,0,0,,None,105.28309946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072357.6,0,0,0,0,0,0
104.553086,0,0,0,0,0,0,0,0,,None,105.56036246688,0,0,0,0,0,0,0,0,0,0,0,0,0,1177602.6,0,0,0,0,0,0,0,0,0,0,0,0,0
104.577903,0,0,0,0,0,0,0,0,,None,105.58517946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045255.5,0,0,0,0,0,0,0,0,0,0
104.648138,0,0,0,0,0,0,0,0,,None,105.65541446688,0,0,0,0,0,0,0,0,0,0,0,1080040.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.661426,0,0,0,0,0,0,0,0,,None,105.66870246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056632.4,0,0,0,0,0
104.815439,0,0,0,0,0,0,0,0,,None,105.82271546688,0,0,0,0,0,0,0,0,0,0,0,1063545.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.134287,0,0,0,0,0,0,0,0,,None,106.14156346688,0,0,0,0,0,0,0,0,0,1026290.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.381053,0,0,0,0,0,0,0,0,,None,106.38832946688,0,0,0,0,0,0,0,0,1042055.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.549017,0,0,0,0,0,0,0,0,,None,106.55629346688,0,0,0,0,1154706.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.680096,0,0,0,0,0,0,0,0,,None,106.68737246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108635.5,0,0,0
105.701633,0,0,0,0,0,0,0,0,,None,106.70890946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061682.3,0,0,0
105.762341,0,0,0,0,0,0,0,0,,None,106.76961746688,0,0,0,0,0,0,0,0,0,0,0,1091164.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.779049,0,0,0,0,0,0,0,0,,None,106.78632546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031615.6,0
105.899826,0,0,0,0,0,0,0,0,,None,106.90710246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027612.5,0
105.916166,0,0,0,0,0,0,0,0,,None,106.92344246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240822.5,0,0,0,0,0,0,0,0,0,0
105.954419,0,0,0,0,0,0,0,0,,None,106.96169546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087610.5
105.990743,0,0,0,0,0,0,0,0,,None,106.99801946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071783.4,0,0,0,0,0,0,0
105.994436,0,0,0,0,0,0,0,0,,None,107.00171246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058083.9,0,0,0,0,0,0,0,0
106.002157,0,0,0,0,0,0,0,0,,None,107.00943346688,0,0,0,0,0,0,0,0,0,0,0,1134329.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.007696,0,0,0,0,0,0,0,0,,None,107.01497246688,0,0,0,0,0,0,0,0,0,0,1037255.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.019551,0,0,0,0,0,0,0,0,,None,107.02682746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039574.4,0,0,0,0,0,0,0,0,0,0
106.102421571429,0,0,0,0,0,0,0,0,,None,107.109698038309,0,0,1036245.3,0,0,1262735.3,0,1325948.9,0,0,0,0,0,0,0,1057061,0,0,0,0,2089846.5,0,0,1597450.9,0,0,1067987.6
106.122293,0,0,0,0,0,0,0,0,,None,107.12956946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030187.4,0,0,0,0,0,0,0,0
106.163371,0,0,0,0,0,0,0,0,,None,107.17064746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064851.1,0
106.213197,0,0,0,0,0,0,0,0,,None,107.22047346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077844.3,0,0,0,0,0
106.230742,0,0,0,0,0,0,0,0,,None,107.23801846688,0,0,0,0,0,0,0,0,0,0,0,1053430.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.242564,0,0,0,0,0,0,0,0,,None,107.24984046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041833.2,0,0,0,0
106.461288,0,0,0,0,0,0,0,0,,None,107.46856446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102510.5,0,0,0,0,0,0,0
106.461454,0,0,0,0,0,0,0,0,,None,107.46873046688,0,0,0,0,0,0,0,0,0,0,0,1056263.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.504281,0,0,0,0,0,0,0,0,,None,107.51155746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034767.6,0,0
106.515215,0,0,0,0,0,0,0,0,,None,107.52249146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249607.8,0,0,0,0,0
106.546769,0,0,0,0,0,0,0,0,,None,107.55404546688,0,0,0,0,0,0,0,0,0,1049569.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.591255,0,0,0,0,0,0,0,0,,None,107.59853146688,0,0,0,1044785.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.617304,0,0,0,0,0,0,0,0,,None,107.62458046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203728.1,0,0,0,0,0,0
106.73089,0,0,0,0,0,0,0,0,,None,107.73816646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111719.9,0,0
106.783639,0,0,0,0,0,0,0,0,,None,107.79091546688,0,0,0,0,0,0,0,0,1109845.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.800215,0,0,0,0,0,0,0,0,,None,107.80749146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050271.1,0,0,0,0,0
106.813911,0,0,0,0,0,0,0,0,,None,107.82118746688,0,0,0,0,0,0,0,0,0,0,0,0,0,1054513.5,0,0,0,0,0,0,0,0,0,0,0,0,0
106.846461,0,0,0,0,0,0,0,0,,None,107.85373746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073602.6,0
106.863722,0,0,0,0,0,0,0,0,,None,107.87099846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030651,0,0,0,0,0,0,0,0
106.876963,0,0,0,0,0,0,0,0,,None,107.88423946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064521.6,0,0,0,0,0,0,0,0,0,0
107.086176,0,0,0,0,0,0,0,0,,None,108.09345246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107284.6,0,0,0
107.100486,0,0,0,0,0,0,0,0,,None,108.10776246688,0,0,0,0,0,0,0,0,0,0,1218271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.111815,0,0,0,0,0,0,0,0,,None,108.11909146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040276.8,0
107.12218,0,0,0,0,0,0,0,0,,None,108.12945646688,0,0,0,0,0,0,0,0,0,0,0,0,0,1035121.6,0,0,0,0,0,0,0,0,0,0,0,0,0
107.143908,0,0,0,0,0,0,0,0,,None,108.15118446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118269.3,0,0,0
107.166758,0,0,0,0,0,0,0,0,,None,108.17403446688,0,0,0,0,0,0,0,0,0,0,1066236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.242979,0,0,0,0,0,0,0,0,,None,108.25025546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027479.8,0,0,0,0
107.254112,0,0,0,0,0,0,0,0,,None,108.26138846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087103.3
107.258385,0,0,0,0,0,0,0,0,,None,108.26566146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048368.1,0,0,0,0,0,0,0,0,0,0,0
107.279535,0,0,0,0,0,0,0,0,,None,108.28681146688,0,0,1092902.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.303768,0,0,0,0,0,0,0,0,,None,108.31104446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089519.3,0,0,0,0,0,0
107.347049,0,0,0,0,0,0,0,0,,None,108.35432546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114698.6,0,0
107.362889,0,0,0,0,0,0,0,0,,None,108.37016546688,0,0,0,0,0,0,0,0,0,0,0,0,1063982.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.394585,0,0,0,0,0,0,0,0,,None,108.40186146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035612.8,0,0,0,0,0,0,0
107.398958,0,0,0,0,0,0,0,0,,None,108.40623446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060338.9,0,0,0,0,0,0,0,0,0
107.408977,0,0,0,0,0,0,0,0,,None,108.41625346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041704.8,0,0,0,0,0,0,0,0
107.441533,0,0,0,0,0,0,0,0,,None,108.44880946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140799.5,0,0,0
107.485581,0,0,0,0,0,0,0,0,,None,108.49285746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078091.1
107.520965,0,0,0,0,0,0,0,0,,None,108.52824146688,0,0,0,0,0,0,0,1066272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.56912,0,0,0,0,0,0,0,0,,None,108.57639646688,0,0,0,0,0,0,0,0,0,0,0,1042791.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.574573,0,0,0,0,0,0,0,0,,None,108.58184946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088251,0,0,0,0,0,0
107.606822,0,0,0,0,0,0,0,0,,None,108.61409846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125061.8,0,0,0,0,0,0,0,0,0,0,0,0
107.694419,0,0,0,0,0,0,0,0,,None,108.70169546688,0,0,1122964.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.725283,0,0,0,0,0,0,0,0,,None,108.73255946688,0,0,0,0,0,0,0,0,1029062.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.761208,0,0,0,0,0,0,0,0,,None,108.76848446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051542,0
107.790643,0,0,0,0,0,0,0,0,,None,108.79791946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129815.9,0,0,0,0,0,0,0,0,0
107.79989,0,0,0,0,0,0,0,0,,None,108.80716646688,0,0,0,0,0,0,1081771.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.961168,0,0,0,0,0,0,0,0,,None,108.96844446688,0,0,0,0,0,0,0,0,0,0,1050363.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.993857,0,0,0,0,0,0,0,0,,None,109.00113346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111508.1
108.012394,0,0,0,0,0,0,0,0,,None,109.01967046688,0,0,0,0,0,1054459.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.046054,0,0,0,0,0,0,0,0,,None,109.05333046688,0,0,0,0,0,0,0,0,0,0,0,1121380.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.062754,0,0,0,0,0,0,0,0,,None,109.07003046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082016.4,0,0,0,0,0,0,0,0
108.083744,0,0,0,0,0,0,0,0,,None,109.09102046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092005.5,0,0,0,0,0,0,0,0,0,0,0
108.101793,0,0,0,0,0,0,0,0,,None,109.10906946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058014.1,0,0,0,0,0,0,0,0
108.106776,0,0,0,0,0,0,0,0,,None,109.11405246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035956.1,0,0,0
108.126799,0,0,0,0,0,0,0,0,,None,109.13407546688,0,0,0,0,0,0,0,0,1074249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.127288,0,0,0,0,0,0,0,0,,None,109.13456446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192288
108.1428485,0,0,0,0,0,0,0,0,,None,109.15012496688,0,0,1973419.3,0,1578356.5,0,1666743.9,0,0,0,0,1745650.8,0,0,0,0,0,1756223.5,1078487.8,0,0,0,0,2193030,0,0,1052647
108.14292,0,0,0,0,0,0,0,0,,None,109.15019646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358494.3,0,0,0,0,0,0,0,0,0,0
108.152579,0,0,0,0,0,0,0,0,,None,109.15985546688,0,0,0,0,0,0,0,0,1039459.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.1573,0,0,0,0,0,0,0,0,,None,109.16457646688,0,0,0,0,1098335.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.195617,0,0,0,0,0,0,0,0,,None,109.20289346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080057.9
108.22951,0,0,0,0,0,0,0,0,,None,109.23678646688,0,0,0,0,0,0,0,1035018.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.247482,0,0,0,0,0,0,0,0,,None,109.25475846688,0,0,0,0,0,0,0,0,0,0,0,0,0,1046488.4,0,0,0,0,0,0,0,0,0,0,0,0,0
108.261237,0,0,0,0,0,0,0,0,,None,109.26851346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109223.5,0,0,0,0,0,0,0,0,0,0,0,0
108.324753,0,0,0,0,0,0,0,0,,None,109.33202946688,0,0,0,0,0,0,0,0,0,0,0,0,0,1150987.9,0,0,0,0,0,0,0,0,0,0,0,0,0
108.371089,0,0,0,0,0,0,0,0,,None,109.37836546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045747.6,0,0,0,0,0
108.376613,0,0,0,0,0,0,0,0,,None,109.38388946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041423.8,0,0,0,0
108.405234,0,0,0,0,0,0,0,0,,None,109.41251046688,0,0,0,0,0,0,0,0,0,0,1089702.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.443172,0,0,0,0,0,0,0,0,,None,109.45044846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038192.9
108.460091,0,0,0,0,0,0,0,0,,None,109.46736746688,0,0,0,1060215.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.537468,0,0,0,0,0,0,0,0,,None,109.54474446688,0,0,0,0,0,0,0,0,1085099.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.538553,0,0,0,0,0,0,0,0,,None,109.54582946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074912.6,0,0,0,0,0,0,0,0,0
108.607136,0,0,0,0,0,0,0,0,,None,109.61441246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078593,0,0
108.654562,0,0,0,0,0,0,0,0,,None,109.66183846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135898.9,0,0,0,0,0,0,0,0,0,0,0
108.677834,0,0,0,0,0,0,0,0,,None,109.68511046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201216.6,0,0,0
108.678015,0,0,0,0,0,0,0,0,,None,109.68529146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041830.6,0,0,0
108.688829,0,0,0,0,0,0,0,0,,None,109.69610546688,0,0,0,0,0,0,0,0,1062091.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.689316,0,0,0,0,0,0,0,0,,None,109.69659246688,0,0,0,0,0,0,0,0,0,0,1131842.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.709787,0,0,0,0,0,0,0,0,,None,109.71706346688,0,0,0,0,0,0,0,0,0,0,0,0,1164555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.742664,0,0,0,0,0,0,0,0,,None,109.74994046688,0,0,0,0,0,0,0,0,0,0,1056066.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.747397,0,0,0,0,0,0,0,0,,None,109.75467346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074546,0,0,0,0,0,0
108.758501,0,0,0,0,0,0,0,0,,None,109.76577746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148988.8,0,0,0,0,0,0,0,0,0,0,0
108.84889,0,0,0,0,0,0,0,0,,None,109.85616646688,0,0,0,0,0,0,0,0,0,0,0,1089855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.891031,0,0,0,0,0,0,0,0,,None,109.89830746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032006.8,0,0,0,0,0,0,0,0,0,0,0
108.894142,0,0,0,0,0,0,0,0,,None,109.90141846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040328.2,0,0,0
108.917173,0,0,0,0,0,0,0,0,,None,109.92444946688,0,0,0,0,0,0,0,0,1028808.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.920651,0,0,0,0,0,0,0,0,,None,109.92792746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142342.9,0,0,0,0,0,0,0,0,0
108.97065,0,0,0,0,0,0,0,0,,None,109.97792646688,0,0,0,0,0,1109272.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.976491,0,0,0,0,0,0,0,0,,None,109.98376746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071065.6,0,0,0,0,0,0,0,0,0,0
108.983859,0,0,0,0,0,0,0,0,,None,109.99113546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196312.5,0
108.996124,0,0,0,0,0,0,0,0,,None,110.00340046688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447482.1,0,0
109.004403,0,0,0,0,0,0,0,0,,None,110.01167946688,0,0,0,0,0,0,0,1036998.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.030005,0,0,0,0,0,0,0,0,,None,110.03728146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065944.1,0,0
109.034739,0,0,0,0,0,0,0,0,,None,110.04201546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060404.3,0,0,0,0
109.064724,0,0,0,0,0,0,0,0,,None,110.07200046688,0,0,0,1028075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.096305,0,0,0,0,0,0,0,0,,None,110.10358146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086840.8,0,0,0,0,0,0,0,0,0,0,0
109.114191,0,0,0,0,0,0,0,0,,None,110.12146746688,0,0,0,0,0,0,0,0,0,0,0,0,1057519.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.130888,0,0,0,0,0,0,0,0,,None,110.13816446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039298.7,0,0,0,0,0,0,0,0,0,0,0
109.135579,0,0,0,0,0,0,0,0,,None,110.14285546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029608.9,0,0,0,0,0,0,0,0,0
109.141828,0,0,0,0,0,0,0,0,,None,110.14910446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101075.5
109.152714,0,0,0,0,0,0,0,0,,None,110.15999046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081693.1,0,0
109.15917,0,0,0,0,0,0,0,0,,None,110.16644646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075259,0,0,0,0,0,0,0
109.179599,0,0,0,0,0,0,0,0,,None,110.18687546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081301.4,0
109.200942,0,0,0,0,0,0,0,0,,None,110.20821846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219074.3,0,0
109.209808,0,0,0,0,0,0,0,0,,None,110.21708446688,0,0,0,0,0,0,0,0,0,0,0,0,0,1028820.1,0,0,0,0,0,0,0,0,0,0,0,0,0
109.211331,0,0,0,0,0,0,0,0,,None,110.21860746688,0,0,0,0,0,0,1027478.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.23793,0,0,0,0,0,0,0,0,,None,110.24520646688,0,0,0,1051309.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.243442,0,0,0,0,0,0,0,0,,None,110.25071846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048232.4,0,0,0,0,0,0,0
109.246581,0,0,0,0,0,0,0,0,,None,110.25385746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037596.2,0,0,0,0,0,0,0
109.257055,0,0,0,0,0,0,0,0,,None,110.26433146688,0,0,0,0,0,1090724.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
