"ID","Class","counts","totalcounts","relabund"
65,"condensed aromatic",81,702,11.54
70,"aliphatic",98,249,39.36
70,"unsaturated/lignin",134,249,53.82
70,"aromatic",2,249,0.8
70,"condensed aromatic",15,249,6.02
71,"aliphatic",98,249,39.36
71,"unsaturated/lignin",134,249,53.82
71,"aromatic",2,249,0.8
71,"condensed aromatic",15,249,6.02
72,"aliphatic",98,249,39.36
72,"unsaturated/lignin",134,249,53.82
72,"aromatic",2,249,0.8
72,"condensed aromatic",15,249,6.02
73,"aliphatic",896,1913,46.84
73,"unsaturated/lignin",920,1913,48.09
73,"aromatic",78,1913,4.08
73,"condensed aromatic",19,1913,0.99
